Site,Observation Number,Butterfly Visits,Bumblebee Visits,Hoverfly Visits,Hummingbird Visits,Other fly Visits,Solitary bee Visits,Wasp Visits,Visit Abundance,Observers,Year,Drought,Time,Butterfly Visitors,Bumblebee Visitors,Hoverfly Visitors,Hummingbird Visitors,Other fly Visitors,Solitary bee Visitors,Wasp Visitors,Visitor Abundance,Richness
P,1,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.5,0,0,0,0,0,0,0,0,0
P,2,1,0,0,0,0,0,0,1,1,1997,Non-drought,1.5,1,0,0,0,0,0,0,1,1
P,3,0,0,0,6,0,0,0,6,1,1997,Non-drought,1,0,0,0,2,0,0,0,2,1
P,4,0,0,0,0,0,2,0,2,1,1997,Non-drought,1.5,0,0,0,0,0,2,0,2,1
P,5,0,0,4,0,0,0,0,4,1,1997,Non-drought,1.5,0,0,1,0,0,0,0,1,1
P,6,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.25,0,0,0,0,0,0,0,0,0
P,7,0,0,16,0,0,0,0,16,1,1997,Non-drought,1.5,0,0,3,0,0,0,0,3,1
P,8,0,0,0,28,0,6,0,34,1,1997,Non-drought,1.5,0,0,0,5,0,4,0,9,2
P,9,0,0,0,45,0,0,0,45,1,1997,Non-drought,1.083333333,0,0,0,4,0,0,0,4,1
P,10,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.5,0,0,0,0,0,0,0,0,0
P,11,0,0,1,0,0,1,0,2,1,1997,Non-drought,1.5,0,0,1,0,0,1,0,2,2
P,12,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.5,0,0,0,0,0,0,0,0,0
P,13,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.5,0,0,0,0,0,0,0,0,0
P,14,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.5,0,0,0,0,0,0,0,0,0
P,15,0,0,10,6,0,0,0,16,1,1997,Non-drought,1.5,0,0,2,3,0,0,0,5,2
T,1,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.5,0,0,0,0,0,0,0,0,0
T,2,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.5,0,0,0,0,0,0,0,0,0
T,3,0,0,5,0,0,0,0,5,1,1997,Non-drought,1,0,0,1,0,0,0,0,1,1
T,4,0,3,0,0,0,4,0,7,1,1997,Non-drought,1.5,0,2,0,0,0,1,0,3,2
T,5,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.5,0,0,0,0,0,0,0,0,0
T,6,0,28,0,0,0,0,0,28,1,1997,Non-drought,1.5,0,4,0,0,0,0,0,4,1
T,7,0,21,0,0,0,0,0,21,1,1997,Non-drought,1.5,0,6,0,0,0,0,0,6,1
T,8,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.25,0,0,0,0,0,0,0,0,0
T,9,0,4,0,0,0,0,0,4,1,1997,Non-drought,1.5,0,2,0,0,0,0,0,2,1
T,10,0,1,24,0,0,1,0,26,1,1997,Non-drought,1.5,0,1,8,0,0,1,0,10,3
T,11,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.5,0,0,0,0,0,0,0,0,0
T,12,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.25,0,0,0,0,0,0,0,0,0
T,13,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.5,0,0,0,0,0,0,0,0,0
T,14,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.5,0,0,0,0,0,0,0,0,0
T,15,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.416666667,0,0,0,0,0,0,0,0,0
V,1,0,3,7,0,0,0,0,10,1,1997,Non-drought,1.5,0,1,2,0,0,0,0,3,2
V,2,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.5,0,0,0,0,0,0,0,0,0
V,3,0,0,1,0,0,0,0,1,1,1997,Non-drought,1,0,0,1,0,0,0,0,1,1
V,4,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.5,0,0,0,0,0,0,0,0,0
V,5,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.5,0,0,0,0,0,0,0,0,0
V,6,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.5,0,0,0,0,0,0,0,0,0
V,7,0,1,4,0,0,0,0,5,1,1997,Non-drought,1.5,0,1,1,0,0,0,0,2,2
V,8,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.5,0,0,0,0,0,0,0,0,0
V,9,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.5,0,0,0,0,0,0,0,0,0
